"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"TC1100003721.mm.2",6.5610718412093,5.91980455618929,6.0049129743121,6.01237055684566,6.29023681429574,6.33496359519033,6.00630420387106,5.82765527676249
"TC1400002856.mm.2",2.99267844283579,2.75307000245068,2.94807928755383,3.19393986028241,3.20902567161208,2.68225175290123,3.13350824940387,3.08297112276643
"TC1500001730.mm.2",3.97535919166151,5.41570827175499,8.61384656105846,8.36550020560054,5.10867382152794,5.84938785833389,10.6277628944043,9.74764235811791
"TC0500001789.mm.2",3.16528854390989,3.58729832568868,3.7462170095517,3.88896749118169,3.51798466658286,3.4637199270657,3.35359360375569,4.04271206177379
"TC0500001790.mm.2",2.98772037626597,3.38754532332866,3.51101477567774,3.29976702780248,3.53011044307942,3.10918064300883,3.34051809538994,3.73988130293577
"TC1700002768.mm.2",9.32865103375252,8.87518087349512,9.1912480033264,8.58121582194819,8.07271515833519,8.28183062132672,8.74946023977896,8.33534032122998
"TC0500002347.mm.2",5.63221483853356,5.50493227035159,5.31706426514769,4.90800992117527,5.3443493721805,5.06996197253883,4.98424577684878,4.36046955961367
"TC1000002003.mm.2",6.26541962248237,5.93662901796441,5.80863535030219,5.4610905118239,6.40014871719009,5.64533191716215,5.34699327485199,4.80643698229847
"TC1700002769.mm.2",8.83133557437901,8.24258845497493,8.60262578260491,8.01746733446293,7.4465332103853,7.70575541445486,8.27096482149957,7.76881565031367
"TC0400003998.mm.2",7.65510494328811,7.44826599203685,7.97527008975623,8.13515013164228,7.95112511489687,8.02064830868894,8.17781467823371,7.79498692919451
"TC1200000681.mm.2",3.39754143018786,3.87688320061821,3.25520551224679,3.77579925718821,3.48711163495673,3.33416825183032,3.89213699727654,3.41938575213895
"TC1400000496.mm.2",4.53617219114985,4.38820651375616,5.12826850319202,4.92891844034094,4.82817945058057,4.83451410057791,5.39215349344821,5.12055204903261
"TC0800000226.mm.2",3.6981515816465,3.5404297634954,3.85806897875171,4.12115294988583,4.06176443889285,4.18726410424423,3.95511747778029,4.33634550790389
"TC0800000231.mm.2",5.40366599794327,5.08953232252791,4.69060960342802,5.05128645433971,4.38031649359162,4.49969174111307,4.6538167659312,5.58206368168054
"TC1400002862.mm.2",3.04771273918251,2.83685786285552,3.2145469064593,3.37530748787971,2.68275642232404,3.10569005032495,3.65433109607058,3.11244465271832
"TC1800001186.mm.2",5.11566003179471,5.68567152511124,5.19330920108018,5.20943197834713,5.61326681240362,5.57105621639973,5.55633325711994,4.99646859219073
"TC0500001028.mm.2",6.37117790496897,6.18156229194113,6.02846088121642,5.78997207476078,6.38407791807506,5.94796378782964,6.22448971795052,5.79120273615041
"TC1400001862.mm.2",2.76557710853667,2.67018948526599,3.12863945841275,3.07527385966352,2.65484516054113,2.81425778909614,3.10388476028172,2.68916779279984
